e,symbol,Net Profit,Total Closed Trades,Percent profitable,Profit factor,Max Drawdown,Avg Trade,Avg num of bars,USDT-hour,USDT-hour-profitability,Pre-filter,Active,Loss at the end,Notes,margin10,ticker
E6c.v8,CKBUSDT,83.17,60,78.33,2.803,9.04,1.39,18,0.07722222222222222,0.06048816666666666,,,,,,BINANCE:CKBUSDT
E6c.v8,FISUSDT,43.04,33,72.73,2.877,9.46,1.30,19,0.06842105263157895,0.04976263157894738,,,,,,BINANCE:FISUSDT
E6c.v8,SOLUSDT,89.33,80,70,3.296,11.15,1.12,16,0.07,0.049,,,,,,BINANCE:SOLUSDT
E6c.v8,CELOUSDT,41.56,40,75,3.29,8.23,1.04,16,0.065,0.04875,,,,,,BINANCE:CELOUSDT
E6c.v8,ROSEUSDT,51.83,63,71.43,1.854,24.22,0.82,17,0.04823529411764706,0.034454470588235295,,,,,,BINANCE:ROSEUSDT
E6c.v8,ARPAUSDT,55.96,69,68.12,2.156,21.88,0.81,17,0.04764705882352942,0.03245717647058824,,,,,,BINANCE:ARPAUSDT
E6c.v8,AVAXUSDT,38.60,58,75.86,1.966,17.17,0.67,16,0.041875,0.031766375,,,,,,BINANCE:AVAXUSDT
E6c.v8,STMXUSDT,37.53,60,70,1.463,27.30,0.63,16,0.039375,0.0275625,,,,,,BINANCE:STMXUSDT
E6c.v8,WNXMUSDT,37.61,68,67.65,2.316,9.75,0.55,18,0.030555555555555558,0.020670833333333336,,,,,,BINANCE:WNXMUSDT
E6c.v8,GRTUSDT,15.60,55,65.45,1.234,43.80,0.28,17,0.01647058823529412,0.010780000000000001,,,,,,BINANCE:GRTUSDT
E6c.v8,XLMUSDT,8.83,57,68.42,1.187,24.01,0.15,18,0.008333333333333333,0.005701666666666667,,,,,,BINANCE:XLMUSDT
